SW Version : 2.10
HW Version : 1
Date,Time,Battery_Voltage,Current_Setting,TempSense1,TempSens2,HeatRatio,Heater_Status,Delta_Temperature(debug_only)
Heatratio = (TS1-TS1_baseline_mean)/(TS2-TS2_baseline_mean)
2023315,0:15:25,4.17,18,24.718750,24.601562,99,0,0.117188
2023315,0:15:26,4.17,18,24.726562,24.609375,99,0,0.117188
2023315,0:15:27,4.16,18,24.734375,24.617187,99,0,0.117188
2023315,0:15:28,4.16,18,24.734375,24.625000,99,0,0.109375
2023315,0:15:29,4.17,18,24.742187,24.625000,99,0,0.117188
2023315,0:15:30,4.16,18,24.742187,24.632812,99,0,0.109375
2023315,0:15:31,4.17,18,24.742187,24.632812,99,0,0.109375
2023315,0:15:32,4.17,18,24.750000,24.632812,99,0,0.117188
2023315,0:15:33,4.17,18,24.750000,24.632812,99,0,0.117188
2023315,0:15:34,4.17,18,24.750000,24.640625,99,0,0.109375
-----------------------------------------------------------------
2023315,0:15:35,4.15,18,24.750000,24.640625,99,1,0.109375
2023315,0:15:36,4.15,18,24.757812,24.640625,99,1,0.117188
2023315,0:15:37,4.15,18,24.757812,24.640625,99,1,0.117188
2023315,0:15:38,4.15,18,24.765625,24.640625,99,1,0.125000
-----------------------------------------------------------------
2023315,0:16:41,4.17,18,25.515625,25.367187,1.05,0,0.148437
2023315,0:16:41,4.17,18,25.515625,25.367187,1.05,0,0.148437
2023315,0:16:42,4.17,18,25.507812,25.367187,1.04,0,0.140625
2023315,0:16:43,4.17,18,25.515625,25.375000,1.04,0,0.140625
2023315,0:16:44,4.17,18,25.507812,25.382812,1.01,0,0.125000
2023315,0:16:45,4.17,18,25.507812,25.382812,1.01,0,0.125000
2023315,0:16:46,4.17,18,25.507812,25.382812,1.01,0,0.125000
2023315,0:16:47,4.17,18,25.500000,25.390625,0.99,0,0.109375
2023315,0:16:48,4.17,18,25.500000,25.390625,0.99,0,0.109375
2023315,0:16:49,4.17,18,25.500000,25.390625,0.99,0,0.109375
-----------------------------------------------------------------
                      heatratio average : 1.019

Lora payload : A006410F252120650C5E0C5092

2023315,0:42:11,4.16,18,24.625000,24.515625,99,0,0.109375
2023315,0:42:12,4.16,18,24.632812,24.523437,99,0,0.109375
2023315,0:42:13,4.16,18,24.632812,24.531250,99,0,0.101563
2023315,0:42:14,4.16,18,24.640625,24.539062,99,0,0.101563
2023315,0:42:15,4.16,18,24.640625,24.539062,99,0,0.101563
2023315,0:42:16,4.16,18,24.648437,24.546875,99,0,0.101563
2023315,0:42:17,4.16,18,24.648437,24.546875,99,0,0.101563
2023315,0:42:18,4.15,18,24.656250,24.554687,99,0,0.101563
2023315,0:42:19,4.17,18,24.656250,24.554687,99,0,0.101563
2023315,0:42:20,4.16,18,24.656250,24.554687,99,0,0.101563
-----------------------------------------------------------------
2023315,0:42:21,4.12,18,24.664062,24.562500,99,1,0.101563
2023315,0:42:22,4.12,18,24.664062,24.562500,99,1,0.101563
2023315,0:42:23,4.12,18,24.664062,24.562500,99,1,0.101563
2023315,0:42:24,4.11,18,24.679687,24.570312,99,1,0.109375
-----------------------------------------------------------------
2023315,0:43:27,4.16,18,25.390625,25.304687,0.98,0,0.085937
2023315,0:43:27,4.16,18,25.390625,25.312500,0.97,0,0.078125
2023315,0:43:28,4.16,18,25.382812,25.312500,0.96,0,0.070312
2023315,0:43:29,4.16,18,25.382812,25.320312,0.95,0,0.062500
2023315,0:43:30,4.16,18,25.382812,25.328125,0.94,0,0.054687
2023315,0:43:31,4.17,18,25.382812,25.328125,0.94,0,0.054687
2023315,0:43:32,4.16,18,25.382812,25.328125,0.94,0,0.054687
2023315,0:43:33,4.16,18,25.375000,25.328125,0.93,0,0.046875
2023315,0:43:34,4.16,18,25.375000,25.328125,0.93,0,0.046875
2023315,0:43:35,4.16,18,25.367187,25.328125,0.92,0,0.039063
-----------------------------------------------------------------
                      heatratio average : 0.944

Lora payload : A006410F8981205E0C520C4591

2023315,1:9:22,4.15,18,24.523437,24.437500,99,0,0.085937
2023315,1:9:23,4.16,18,24.531250,24.445312,99,0,0.085937
2023315,1:9:24,4.16,18,24.539062,24.453125,99,0,0.085937
2023315,1:9:25,4.15,18,24.546875,24.460937,99,0,0.085937
2023315,1:9:26,4.16,18,24.546875,24.460937,99,0,0.085937
2023315,1:9:27,4.16,18,24.554687,24.468750,99,0,0.085937
2023315,1:9:28,4.15,18,24.554687,24.468750,99,0,0.085937
2023315,1:9:29,4.15,18,24.554687,24.468750,99,0,0.085937
2023315,1:9:30,4.16,18,24.562500,24.476562,99,0,0.085937
2023315,1:9:31,4.16,18,24.562500,24.476562,99,0,0.085937
-----------------------------------------------------------------
2023315,1:9:32,4.11,18,24.562500,24.484375,99,1,0.078125
2023315,1:9:33,4.12,18,24.570312,24.484375,99,1,0.085937
2023315,1:9:34,4.12,18,24.570312,24.484375,99,1,0.085937
2023315,1:9:35,4.11,18,24.570312,24.492187,99,1,0.078125
-----------------------------------------------------------------
2023315,1:10:39,4.16,18,25.304687,25.250000,0.96,0,0.054687
2023315,1:10:39,4.16,18,25.304687,25.250000,0.96,0,0.054687
2023315,1:10:40,4.15,18,25.304687,25.250000,0.96,0,0.054687
2023315,1:10:41,4.16,18,25.296875,25.250000,0.95,0,0.046875
2023315,1:10:42,4.15,18,25.296875,25.250000,0.95,0,0.046875
2023315,1:10:43,4.16,18,25.296875,25.257812,0.94,0,0.039063
2023315,1:10:44,4.15,18,25.289062,25.257812,0.93,0,0.031250
2023315,1:10:45,4.16,18,25.289062,25.257812,0.93,0,0.031250
2023315,1:10:46,4.16,18,25.281250,25.257812,0.92,0,0.023437
2023315,1:10:47,4.15,18,25.273437,25.265625,0.90,0,0.007813
-----------------------------------------------------------------
                      heatratio average : 0.941

Lora payload : A006410FEF81205E0C460C3B91

2023315,1:35:54,4.15,18,24.429687,24.335937,99,0,0.093750
2023315,1:35:55,4.15,18,24.437500,24.351562,99,0,0.085937
2023315,1:35:56,4.15,18,24.445312,24.351562,99,0,0.093750
2023315,1:35:57,4.16,18,24.453125,24.359375,99,0,0.093750
2023315,1:35:58,4.15,18,24.453125,24.367187,99,0,0.085937
2023315,1:35:59,4.16,18,24.460937,24.367187,99,0,0.093750
2023315,1:36:0,4.16,18,24.460937,24.367187,99,0,0.093750
2023315,1:36:1,4.15,18,24.460937,24.375000,99,0,0.085937
2023315,1:36:2,4.15,18,24.468750,24.375000,99,0,0.093750
2023315,1:36:3,4.16,18,24.468750,24.375000,99,0,0.093750
-----------------------------------------------------------------
