SW Version : 2.10
HW Version : 1
Date,Time,Battery_Voltage,Current_Setting,TempSense1,TempSens2,HeatRatio,Heater_Status,Delta_Temperature(debug_only)
Heatratio = (TS1-TS1_baseline_mean)/(TS2-TS2_baseline_mean)
2023531,0:26:0,3.58,18,16.718750,16.726562,99,0,0.007813
2023531,0:26:1,3.57,18,16.726562,16.734375,99,0,0.007813
2023531,0:26:2,3.58,18,16.734375,16.742187,99,0,0.007813
2023531,0:26:3,3.58,18,16.734375,16.750000,99,0,0.015625
2023531,0:26:4,3.57,18,16.742187,16.750000,99,0,0.007813
2023531,0:26:5,3.58,18,16.742187,16.757812,99,0,0.015625
2023531,0:26:6,3.58,18,16.750000,16.757812,99,0,0.007813
2023531,0:26:7,3.58,18,16.750000,16.757812,99,0,0.007813
2023531,0:26:8,3.58,18,16.750000,16.757812,99,0,0.007813
2023531,0:26:9,3.57,18,16.750000,16.765625,99,0,0.015625
-----------------------------------------------------------------
2023531,0:26:10,3.52,18,16.757812,16.765625,99,1,0.007813
2023531,0:26:11,3.52,18,16.757812,16.773437,99,1,0.015625
2023531,0:26:12,3.52,18,16.757812,16.773437,99,1,0.015625
2023531,0:26:13,3.52,18,16.765625,16.773437,99,1,0.007813
-----------------------------------------------------------------
2023531,0:27:16,3.58,18,17.671875,17.601562,1.09,0,0.070312
2023531,0:27:16,3.58,18,17.664062,17.609375,1.08,0,0.054687
2023531,0:27:17,3.57,18,17.656250,17.617187,1.06,0,0.039063
2023531,0:27:18,3.58,18,17.664062,17.617187,1.07,0,0.046875
2023531,0:27:19,3.58,18,17.648437,17.625000,1.04,0,0.023437
2023531,0:27:20,3.57,18,17.648437,17.625000,1.04,0,0.023437
2023531,0:27:21,3.58,18,17.648437,17.625000,1.04,0,0.023437
2023531,0:27:22,3.57,18,17.640625,17.632812,1.02,0,0.007813
2023531,0:27:23,3.58,18,17.632812,17.632812,1.01,0,0.000000
2023531,0:27:24,3.58,18,17.632812,17.632812,1.01,0,0.000000
-----------------------------------------------------------------
                      heatratio average : 1.045

Lora payload : A006476784D12068085E086058

2023531,0:52:46,3.58,18,16.796875,16.804687,99,0,0.007813
2023531,0:52:47,3.57,18,16.804687,16.820312,99,0,0.015625
2023531,0:52:48,3.58,18,16.812500,16.828125,99,0,0.015625
2023531,0:52:49,3.58,18,16.812500,16.828125,99,0,0.015625
2023531,0:52:50,3.58,18,16.820312,16.835937,99,0,0.015625
2023531,0:52:51,3.58,18,16.820312,16.835937,99,0,0.015625
2023531,0:52:52,3.58,18,16.828125,16.843750,99,0,0.015625
2023531,0:52:53,3.58,18,16.828125,16.843750,99,0,0.015625
2023531,0:52:54,3.58,18,16.828125,16.843750,99,0,0.015625
2023531,0:52:55,3.58,18,16.835937,16.843750,99,0,0.007813
-----------------------------------------------------------------
2023531,0:52:56,3.52,18,16.835937,16.851562,99,1,0.015625
2023531,0:52:57,3.52,18,16.843750,16.851562,99,1,0.007813
2023531,0:52:58,3.52,18,16.843750,16.859375,99,1,0.015625
2023531,0:52:59,3.52,18,16.851562,16.859375,99,1,0.007813
-----------------------------------------------------------------
2023531,0:54:2,3.57,18,17.750000,17.687500,1.09,0,0.062500
2023531,0:54:2,3.57,18,17.750000,17.703125,1.07,0,0.046875
2023531,0:54:3,3.58,18,17.742187,17.703125,1.06,0,0.039063
2023531,0:54:4,3.58,18,17.742187,17.703125,1.06,0,0.039063
2023531,0:54:5,3.57,18,17.734375,17.710937,1.04,0,0.023437
2023531,0:54:6,3.58,18,17.734375,17.718750,1.03,0,0.015625
2023531,0:54:7,3.57,18,17.726562,17.718750,1.02,0,0.007813
2023531,0:54:8,3.58,18,17.726562,17.718750,1.02,0,0.007813
2023531,0:54:9,3.57,18,17.718750,17.718750,1.02,0,0.000000
2023531,0:54:10,3.58,18,17.710937,17.718750,1.01,0,0.007813
-----------------------------------------------------------------
                      heatratio average : 1.043

Lora payload : A0064767E93120680868086A57

2023531,1:19:32,3.58,18,16.875000,16.890625,99,0,0.015625
2023531,1:19:33,3.58,18,16.882812,16.898437,99,0,0.015625
