SW Version : 2.10
HW Version : 1
Date,Time,Battery_Voltage,Current_Setting,TempSense1,TempSens2,HeatRatio,Heater_Status,Delta_Temperature(debug_only)
Heatratio = (TS1-TS1_baseline_mean)/(TS2-TS2_baseline_mean)
2023428,0:7:24,4.01,18,8.726563,8.421875,99,0,0.304688
2023428,0:7:25,4.00,18,8.726563,8.429688,99,0,0.296875
2023428,0:7:26,4.01,18,8.726563,8.429688,99,0,0.296875
2023428,0:7:27,4.01,18,8.734375,8.429688,99,0,0.304688
2023428,0:7:28,4.01,18,8.734375,8.437500,99,0,0.296875
2023428,0:7:29,4.01,18,8.734375,8.437500,99,0,0.296875
2023428,0:7:30,4.01,18,8.742188,8.437500,99,0,0.304688
2023428,0:7:31,4.00,18,8.742188,8.437500,99,0,0.304688
2023428,0:7:32,4.01,18,8.742188,8.437500,99,0,0.304688
2023428,0:7:33,4.01,18,8.742188,8.445313,99,0,0.296875
-----------------------------------------------------------------
2023428,0:7:34,3.94,18,8.742188,8.445313,99,1,0.296875
2023428,0:7:35,3.93,18,8.742188,8.445313,99,1,0.296875
2023428,0:7:36,3.94,18,8.742188,8.445313,99,1,0.296875
2023428,0:7:37,3.93,18,8.742188,8.445313,99,1,0.296875
-----------------------------------------------------------------
2023428,0:8:40,4.00,18,8.953125,8.617188,1.19,0,0.335938
2023428,0:8:41,4.01,18,8.960938,8.632813,1.14,0,0.328125
2023428,0:8:42,4.01,18,8.960938,8.632813,1.14,0,0.328125
2023428,0:8:42,4.00,18,8.953125,8.625000,1.14,0,0.328125
2023428,0:8:43,4.01,18,8.953125,8.632813,1.10,0,0.320313
2023428,0:8:44,4.01,18,8.953125,8.632813,1.10,0,0.320313
2023428,0:8:45,4.00,18,8.960938,8.640625,1.09,0,0.320313
2023428,0:8:46,4.00,18,8.960938,8.640625,1.09,0,0.320313
2023428,0:8:47,4.01,18,8.960938,8.640625,1.09,0,0.320313
2023428,0:8:48,4.01,18,8.960938,8.640625,1.09,0,0.320313
-----------------------------------------------------------------
                      heatratio average : 1.119

2023428,0:33:52,4.01,18,8.773438,8.539063,99,0,0.234375
2023428,0:33:53,4.00,18,8.781250,8.546875,99,0,0.234375
2023428,0:33:54,4.01,18,8.781250,8.554688,99,0,0.226562
2023428,0:33:55,4.00,18,8.781250,8.554688,99,0,0.226562
2023428,0:33:56,4.01,18,8.789063,8.554688,99,0,0.234375
2023428,0:33:57,4.01,18,8.789063,8.554688,99,0,0.234375
2023428,0:33:58,4.00,18,8.789063,8.554688,99,0,0.234375
2023428,0:33:59,4.01,18,8.789063,8.554688,99,0,0.234375
2023428,0:34:0,4.00,18,8.789063,8.562500,99,0,0.226562
2023428,0:34:1,4.01,18,8.789063,8.562500,99,0,0.226562
-----------------------------------------------------------------
2023428,0:34:2,3.94,18,8.796875,8.562500,99,1,0.234375
2023428,0:34:3,3.94,18,8.796875,8.562500,99,1,0.234375
2023428,0:34:4,3.93,18,8.796875,8.562500,99,1,0.234375
2023428,0:34:5,3.93,18,8.796875,8.562500,99,1,0.234375
-----------------------------------------------------------------
2023428,0:35:8,4.01,18,9.000000,8.726563,1.24,0,0.273438
2023428,0:35:9,4.01,18,9.007813,8.734375,1.23,0,0.273438
2023428,0:35:9,4.00,18,9.000000,8.726563,1.24,0,0.273438
2023428,0:35:10,4.01,18,9.007813,8.734375,1.23,0,0.273438
2023428,0:35:11,4.01,18,9.007813,8.742188,1.18,0,0.265625
2023428,0:35:12,4.01,18,9.007813,8.742188,1.18,0,0.265625
2023428,0:35:13,4.01,18,9.007813,8.742188,1.18,0,0.265625
2023428,0:35:14,4.01,18,9.015625,8.742188,1.22,0,0.273438
2023428,0:35:15,4.01,18,9.015625,8.750000,1.18,0,0.265625
2023428,0:35:16,4.00,18,9.015625,8.750000,1.18,0,0.265625
-----------------------------------------------------------------
                      heatratio average : 1.208

2023428,1:0:20,4.01,18,8.601563,8.335938,99,0,0.265625
2023428,1:0:21,4.01,18,8.609375,8.343750,99,0,0.265625
2023428,1:0:22,4.01,18,8.609375,8.351563,99,0,0.257813
2023428,1:0:23,4.01,18,8.609375,8.351563,99,0,0.257813
2023428,1:0:24,4.00,18,8.609375,8.351563,99,0,0.257813
2023428,1:0:25,4.01,18,8.617188,8.359375,99,0,0.257813
2023428,1:0:26,4.00,18,8.617188,8.359375,99,0,0.257813
2023428,1:0:27,4.01,18,8.617188,8.359375,99,0,0.257813
2023428,1:0:28,4.00,18,8.617188,8.359375,99,0,0.257813
2023428,1:0:29,4.01,18,8.617188,8.359375,99,0,0.257813
-----------------------------------------------------------------
2023428,1:0:30,3.94,18,8.625000,8.359375,99,1,0.265625
2023428,1:0:31,3.93,18,8.625000,8.359375,99,1,0.265625
2023428,1:0:32,3.93,18,8.617188,8.359375,99,1,0.257813
2023428,1:0:33,3.93,18,8.625000,8.359375,99,1,0.265625
-----------------------------------------------------------------
2023428,1:1:36,4.01,18,8.820313,8.515625,1.28,0,0.304688
2023428,1:1:37,4.01,18,8.828125,8.531250,1.21,0,0.296875
2023428,1:1:38,4.00,18,8.835938,8.539063,1.20,0,0.296875
2023428,1:1:38,4.00,18,8.828125,8.539063,1.16,0,0.289063
